Achiever,Killer,Explorer
0,0,0
0,0,0
18.3842278423814,11.6486534291316,13.6797885660245
25.3879737533742,15.8108186805658,19.1376690737875
29.0007919422281,18.3239600023951,22.240413006578
29.8188862299364,18.9269282604058,22.9391150147866
28.1124080510224,18.1314670642954,21.1056673761969
24.7977775148913,15.8272351873287,18.6109552415358
19.2889177054084,13.0680402200074,15.0413500025752
12.7715355336027,9.34185275481146,10.1522843941799
11.4552521361011,8.96707046852525,8.90771926015517
8.67308554751796,7.15883524959268,6.97533338311918
3.20874516500452,3.89907351090465,3.68285369825928
-3.78030154819621,-0.254599904858055,-1.40273691532384
-10.8172819688365,-4.94776219092109,-7.06490273033782
-19.0037241114578,-9.8132214484159,-13.4208207820308
-27.9366857159608,-15.0164752349286,-20.3360813646675
-30.0916946130302,-16.3096375379196,-22.012565792691
-34.2558944383509,-18.8502284526132,-25.1302043961492
-40.7960606967799,-22.7210234144225,-30.0320097971862
-48.6731776158259,-27.3261247931622,-35.7408378002425
-57.0818949786363,-32.2992773564741,-42.179896840425
-66.3271356744818,-37.6584489524062,-49.0833925901738
-75.5669739322224,-43.3373290347389,-56.3715707870104
-78.9968797774447,-45.2023159426554,-59.3456417491221
-83.837159898959,-48.0186362875314,-62.6508878376025
-90.9372845872486,-52.3293487418745,-67.7226009097112
-99.0852321717731,-57.2329076242731,-73.7263019319724
-108.171481751117,-62.4867835910581,-80.6450209102469
-117.687167197534,-68.2532565889599,-88.0403731920071
-127.719652922991,-74.0949562445242,-94.999812984861
-131.3946736465,-75.8694734302075,-97.4198977778617
-136.663388364662,-78.7045416263244,-101.068850695864
-136.694805661863,-78.5916854369493,-100.722844178989
-139.176861510368,-79.6424333801142,-101.816481979303
-142.473220946565,-81.9576927055606,-104.670835414754
-147.794117625381,-85.0574340363774,-107.904912687226
-153.859577702308,-88.6267717558472,-112.569740339961
-154.478516433747,-88.8309363824639,-112.579070076828
-157.280620558482,-90.4820389650707,-114.277197526788
-162.584993583446,-93.3050529790815,-117.955096210457
-169.51487010974,-97.3205981599437,-122.966830674407
-177.200788003977,-101.568076575976,-128.667247204221
-185.047954599053,-106.284235071066,-134.549812463152
