Hardcore,Midcore,Casual
0,0,0
0,0,0
23.0437405474982,18.3842278423814,14.0339963008573
31.460583698826,25.3879737533742,17.7368891239342
37.2160534821578,29.0007919422281,18.9918317278116
40.4043880342576,29.8188862299364,18.3642391100232
41.1690194701482,28.1124080510224,15.3453899943065
38.7144310490047,24.7977775148913,10.0369378155716
34.7339167026502,19.2889177054084,3.10466762581604
29.8717145332569,12.7715355336027,-4.80182267295359
29.5582449629415,11.4552521361011,-6.93781537068534
27.1664716469199,8.67308554751796,-11.3981705506557
22.9086528059072,3.20874516500452,-18.0261171945203
16.6557065256441,-3.78030154819621,-26.119905740925
9.80665881287706,-10.8172819688365,-34.9861543866049
2.31174552625156,-19.0037241114578,-44.1751812082689
-6.03594071687258,-27.9366857159608,-53.796678810868
-7.49017677879905,-30.0916946130302,-57.111933810866
-11.0188505985957,-34.2558944383509,-62.3626231950562
-16.9555352874205,-40.7960606967799,-69.9688262514176
-23.9474114981437,-48.6731776158259,-78.6232453067257
-31.7991428574218,-57.0818949786363,-88.0733948163543
-40.1952079554243,-66.3271356744818,-98.0293921907145
-48.5183762314727,-75.5669739322224,-108.260917351315
-51.0655816001145,-78.9968797774447,-112.217781264177
-54.7137997461708,-83.837159898959,-117.45560874448
-60.8198182139658,-90.9372845872486,-125.221301548363
-68.4740769726042,-99.0852321717731,-134.473431787997
-77.0657429233268,-108.171481751117,-144.137016397851
-85.8197124166538,-117.687167197534,-154.291096896474
-94.9317728219149,-127.719652922991,-164.925710392898
-98.2734612882396,-131.3946736465,-169.322868249902
-102.677111198304,-136.663388364662,-175.221299296285
-98.2027169506059,-136.694805661863,-179.997937840915
-98.1216706118101,-139.176861510368,-185.997469508961
-101.053314219706,-142.473220946565,-192.842176807564
-104.366089425721,-147.794117625381,-200.348977517948
-109.032208178999,-153.859577702308,-208.363438689548
-107.983091048089,-154.478516433747,-210.033302896708
-108.792574074599,-157.280620558482,-214.296576739016
-112.632515627931,-162.584993583446,-220.770893889076
-118.194202279494,-169.51487010974,-228.86408385469
-125.179012968555,-177.200788003977,-237.49891551798
-132.303277417329,-185.047954599053,-246.870466913082
-139.873580214282,-193.546314916212,-256.679311486528
