Achiever,Killer,Explorer,Socializer
0,0,0,0
0,0,0,0
18.1721762571898,11.1197021147401,12.2043127054919,8.01581604472388
24.3001694384392,14.741450919111,16.6390931789847,10.5588207599923
27.6691033895933,16.7493339510977,18.8850300718194,11.4445990518766
28.6935075942192,17.3383122482565,18.8540900847138,11.5715278827406
27.2819057481692,16.4956629134077,16.7885945740538,10.2584592795159
23.4404768271809,14.1977383971798,13.2998856254191,7.74019673115534
17.8634917631113,11.1133394808266,8.7325468250565,4.67104945786079
11.334750034769,7.20664095296917,3.26788687451182,1.05881002811089
10.020552803063,6.5175847777866,1.88776429010537,0.120801792226329
6.68265748808752,4.61563111642982,-0.852559621162412,-1.71360394931903
1.1481883187844,1.12766281048846,-5.34869205001421,-4.98748504791423
-6.04532411947983,-3.20318609293296,-11.0462987794909,-8.98718510065862
-13.7680906770877,-8.05027515185037,-17.1621691782604,-13.2681684801213
-22.1321773828842,-13.0937885093612,-23.8218291149035,-17.7011517236366
-31.1499680218569,-18.4429056461545,-30.8962677738443,-22.4211543305811
-33.5440702239567,-19.8941080262181,-33.1483055993562,-24.0958429851795
-37.9391358158041,-22.4778792103663,-36.7525052651921,-26.528727666692
-44.7125852965983,-26.4621724846211,-42.1717142667824,-30.2021866867969
-52.6098499934881,-31.2257595203359,-48.5030540121965,-34.3100904305688
-61.2574351041966,-36.3784915491382,-55.334771465502,-38.9068791711254
-70.507720318759,-41.8342956164655,-62.5646946674117,-43.8601941340769
-79.8449110502724,-47.6451956469866,-70.1106538162346,-49.0030512874427
-83.1933046028154,-49.6137669443037,-72.8597274914351,-50.8835615757114
-87.7948832728002,-52.576451157826,-76.8875849873724,-53.4918238746165
-94.8327339330022,-56.9176970880747,-82.4900043174956,-57.3819074265573
-103.266564566997,-62.0189401855861,-88.9935481843869,-61.9087574337854
-112.422652250324,-67.3607053644525,-96.0857000329708,-66.8457899357467
-121.94320736091,-73.1652520722435,-103.530947720949,-71.9651385806691
-131.912256660291,-79.0547520272091,-111.088088777068,-77.0702193490742
-135.770722646371,-81.0075419501398,-113.873222994802,-79.1397183276019
-141.005944319727,-84.0823257162518,-117.944799907918,-81.9720006699026
-141.462928954648,-84.5448753911655,-119.568315587086,-83.3668200019138
-144.522112797651,-86.0192700051615,-122.546317511449,-85.7954447845014
-149.148677669448,-88.727915739578,-126.587901409236,-88.729154838672
