Achiever,Killer,Explorer,Socializer
0,0,0,0
0,0,0,0
14.0339963008573,9.01826477515887,10.6371547255442,7.0121160891017
17.7368891239342,11.2204686958178,14.331453451874,8.98805857820858
18.9918317278116,12.2005747833813,15.8624514842519,9.61685585652091
18.3642391100232,11.788287161554,15.1072301500909,9.42573207442381
15.3453899943065,10.1754753936012,12.587782692206,7.74486305755489
10.0369378155716,6.9969496828949,8.47998019368265,4.89893139554729
3.10466762581604,3.12994257124951,3.30213847626629,1.52912988297937
-4.80182267295359,-1.55828177730533,-2.63800833882751,-2.48595070271905
-6.93781537068534,-2.99713459057362,-4.27181251877499,-3.69595147220352
-11.3981705506557,-5.38041349284241,-7.53490548090411,-5.67175892361009
-18.0261171945203,-9.55365424000879,-12.5893836374582,-9.18256780807281
-26.119905740925,-14.4137322336205,-18.6519963282421,-13.3773661660466
-34.9861543866049,-19.7992663236644,-25.3109102220689,-17.7924181923998
-44.1751812082689,-25.2598683513388,-32.2982154019224,-22.5038944425909
-53.796678810868,-31.0745835516768,-39.5795212264071,-27.4580229467286
-57.111933810866,-32.7899889577889,-42.0098345203212,-29.2400750730364
-62.3626231950562,-35.7348611543841,-45.8739252765084,-31.815962532809
-69.9688262514176,-40.222898189554,-51.6583731922995,-35.6768325220954
-78.6232453067257,-45.495783002763,-58.2938347859159,-39.8930915748568
-88.0733948163543,-51.2467174407934,-65.5065473429204,-44.7472082900272
-98.0293921907145,-57.1112233172987,-73.0882909342514,-49.8454188907196
-108.260917351315,-63.2149190793922,-80.7851299043515,-55.1071756892349
-112.217781264177,-65.597355208996,-83.6555571459419,-57.1211298525714
-117.45560874448,-69.0541448424017,-87.9646624206088,-59.8998443175303
-125.221301548363,-73.6794954457836,-93.8283983521501,-63.91952602538
-134.473431787997,-79.0838986329811,-100.605085976501,-68.6031489249845
-144.137016397851,-84.7822060332318,-107.965088655595,-73.6060738634429
-154.291096896474,-90.9768553602599,-115.676059723243,-78.7934333664292
-164.925710392898,-97.1024618234234,-123.513188301483,-84.1103697597799
-169.322868249902,-99.6057639758814,-126.584388315571,-86.3545958366971
-175.221299296285,-103.039818375468,-130.826568136315,-89.2409555172278
-179.997937840915,-105.718111964018,-133.967154015664,-91.5274373494492
-185.997469508961,-108.959535255467,-138.262099732787,-94.6646064321434
-192.842176807564,-112.969639425671,-143.282637926493,-98.0387397666631
