Achiever,Killer,Socializer,Explorer
0,0,0,0
0,0,0,0
23.0437405474982,13.9122679722023,11.7822777338625,17.826984670355
31.460583698826,18.9600040188222,16.4532272978192,24.5977578015009
37.2160534821578,21.7137036111356,18.3033467127984,29.2280107012455
40.4043880342576,24.2318052005272,19.6237925654958,31.7486894936254
41.1690194701482,24.7814178101232,19.6909234526478,31.5041078919596
38.7144310490047,24.22693287343,18.4022645884887,29.8320539218656
34.7339167026502,21.8601288320023,16.4613455945291,27.0389130594211
29.8717145332569,19.0327385966389,14.3607987499882,23.1543358564788
29.5582449629415,19.0243911199123,14.4434635267879,22.78600497639
27.1664716469199,17.8310507841398,13.1396786346186,21.6105838215368
22.9086528059072,15.1136266265084,10.7548873716499,18.4505779829933
16.6557065256441,11.3755131574203,7.48730879419929,13.798478747729
9.80665881287706,7.19769948346268,3.70942837832567,9.68759538124309
2.31174552625156,2.52471313465081,0.321511675326175,4.20812533721096
-6.03594071687258,-2.2777652800947,-3.51991539988353,-2.08909530965041
-7.49017677879905,-3.60804831740306,-4.79171432559275,-4.10269214846262
-11.0188505985957,-5.59198372014325,-6.68797002476804,-7.01245154965989
-16.9555352874205,-8.87341999091597,-9.65815489248064,-11.2920040846655
-23.9474114981437,-13.0363767751399,-13.3594469612821,-16.8630090696407
-31.7991428574218,-17.4671051697899,-16.9905925806076,-22.3611954275237
-40.1952079554243,-22.3640973386381,-21.4001754596652,-28.3241187238893
-48.5183762314727,-27.9325555400292,-26.0968525013361,-35.442623708776
-51.0655816001145,-29.3496669400792,-27.476604330587,-37.4224847548073
-54.7137997461708,-31.7110447577533,-29.4452316970843,-40.8917630580139
-60.8198182139658,-35.5717067877601,-32.8489881485014,-45.8367452758327
-68.4740769726042,-40.5752908538718,-36.7875357554715,-51.5990923107091
-77.0657429233268,-45.4385864389835,-41.4773017947012,-57.6527580743745
-85.8197124166538,-50.5735608097185,-46.341434436167,-63.9475643840893
-94.9317728219149,-56.1200587496414,-50.6515105913742,-70.8289055380126
-98.2734612882396,-57.4411186724862,-52.0653326233687,-72.6818749986778
-102.677111198304,-60.4138544745716,-54.6946855727238,-76.399166311515
-98.2027169506059,-57.9764016540266,-52.7434724297189,-73.1122525895308
-98.1216706118101,-57.0494860912717,-52.5132299418044,-71.9994483899961
-101.053314219706,-58.1940950100358,-53.7942175831184,-72.7900205385401
