Hardcore,Midcore,Casual
0,0,0
0,0,0
17.826984670355,13.6797885660245,10.6371547255442
24.5977578015009,19.1376690737875,14.331453451874
29.2280107012455,22.240413006578,15.8624514842519
31.7486894936254,22.9391150147866,15.1072301500909
31.5041078919596,21.1056673761969,12.587782692206
29.8320539218656,18.6109552415358,8.47998019368265
27.0389130594211,15.0413500025752,3.30213847626629
23.1543358564788,10.1522843941799,-2.63800833882751
22.78600497639,8.90771926015517,-4.27181251877499
21.6105838215368,6.97533338311918,-7.53490548090411
18.4505779829933,3.68285369825928,-12.5893836374582
13.798478747729,-1.40273691532384,-18.6519963282421
9.68759538124309,-7.06490273033782,-25.3109102220689
4.20812533721096,-13.4208207820308,-32.2982154019224
-2.08909530965041,-20.3360813646675,-39.5795212264071
-4.10269214846262,-22.012565792691,-42.0098345203212
-7.01245154965989,-25.1302043961492,-45.8739252765084
-11.2920040846655,-30.0320097971862,-51.6583731922995
-16.8630090696407,-35.7408378002425,-58.2938347859159
-22.3611954275237,-42.179896840425,-65.5065473429204
-28.3241187238893,-49.0833925901738,-73.0882909342514
-35.442623708776,-56.3715707870104,-80.7851299043515
-37.4224847548073,-59.3456417491221,-83.6555571459419
-40.8917630580139,-62.6508878376025,-87.9646624206088
-45.8367452758327,-67.7226009097112,-93.8283983521501
-51.5990923107091,-73.7263019319724,-100.605085976501
-57.6527580743745,-80.6450209102469,-107.965088655595
-63.9475643840893,-88.0403731920071,-115.676059723243
-70.8289055380126,-94.999812984861,-123.513188301483
-72.6818749986778,-97.4198977778617,-126.584388315571
-76.399166311515,-101.068850695864,-130.826568136315
-73.1122525895308,-100.722844178989,-133.967154015664
-71.9994483899961,-101.816481979303,-138.262099732787
-72.7900205385401,-104.670835414754,-143.282637926493
-75.5810538344028,-107.904912687226,-149.081989806356
-79.1548560014755,-112.569740339961,-155.247394268972
-78.7536694330293,-112.579070076828,-156.804346016696
-79.7999985209193,-114.277197526788,-159.553181262473
-83.0251505444676,-117.955096210457,-164.311588611904
-87.4406841965485,-122.966830674407,-170.380403657295
-92.3817056531408,-128.667247204221,-176.790450047124
-97.6906661402207,-134.549812463152,-183.65569256166
