Hardcore,Midcore,Casual
0,0,0
0,0,0
13.9122679722023,11.6486534291316,9.01826477515887
18.9600040188222,15.8108186805658,11.2204686958178
21.7137036111356,18.3239600023951,12.2005747833813
24.2318052005272,18.9269282604058,11.788287161554
24.7814178101232,18.1314670642954,10.1754753936012
24.22693287343,15.8272351873287,6.9969496828949
21.8601288320023,13.0680402200074,3.12994257124951
19.0327385966389,9.34185275481146,-1.55828177730533
19.0243911199123,8.96707046852525,-2.99713459057362
17.8310507841398,7.15883524959268,-5.38041349284241
15.1136266265084,3.89907351090465,-9.55365424000879
11.3755131574203,-0.254599904858055,-14.4137322336205
7.19769948346268,-4.94776219092109,-19.7992663236644
2.52471313465081,-9.8132214484159,-25.2598683513388
-2.2777652800947,-15.0164752349286,-31.0745835516768
-3.60804831740306,-16.3096375379196,-32.7899889577889
-5.59198372014325,-18.8502284526132,-35.7348611543841
-8.87341999091597,-22.7210234144225,-40.222898189554
-13.0363767751399,-27.3261247931622,-45.495783002763
-17.4671051697899,-32.2992773564741,-51.2467174407934
-22.3640973386381,-37.6584489524062,-57.1112233172987
-27.9325555400292,-43.3373290347389,-63.2149190793922
-29.3496669400792,-45.2023159426554,-65.597355208996
-31.7110447577533,-48.0186362875314,-69.0541448424017
-35.5717067877601,-52.3293487418745,-73.6794954457836
-40.5752908538718,-57.2329076242731,-79.0838986329811
-45.4385864389835,-62.4867835910581,-84.7822060332318
-50.5735608097185,-68.2532565889599,-90.9768553602599
-56.1200587496414,-74.0949562445242,-97.1024618234234
-57.4411186724862,-75.8694734302075,-99.6057639758814
-60.4138544745716,-78.7045416263244,-103.039818375468
-57.9764016540266,-78.5916854369493,-105.718111964018
-57.0494860912717,-79.6424333801142,-108.959535255467
-58.1940950100358,-81.9576927055606,-112.969639425671
-60.7199954421224,-85.0574340363774,-117.204959100557
-63.7170077474416,-88.6267717558472,-121.861280931596
-62.9690265178018,-88.8309363824639,-122.93009851206
-64.0299815395245,-90.4820389650707,-125.23838531526
-66.6419052176252,-93.3050529790815,-128.984366737452
-69.7721717364632,-97.3205981599437,-133.513878165928
-73.4387770749313,-101.568076575976,-138.728173764158
-77.1204463598892,-106.284235071066,-144.361960758001
