Hardcore,Casual
0,0
0,0
11.7822777338625,7.0121160891017
16.4532272978192,8.98805857820858
18.3033467127984,9.61685585652091
19.6237925654958,9.42573207442381
19.6909234526478,7.74486305755489
18.4022645884887,4.89893139554729
16.4613455945291,1.52912988297937
14.3607987499882,-2.48595070271905
14.4434635267879,-3.69595147220352
13.1396786346186,-5.67175892361009
10.7548873716499,-9.18256780807281
7.48730879419929,-13.3773661660466
3.70942837832567,-17.7924181923998
0.321511675326175,-22.5038944425909
-3.51991539988353,-27.4580229467286
-4.79171432559275,-29.2400750730364
-6.68797002476804,-31.815962532809
-9.65815489248064,-35.6768325220954
-13.3594469612821,-39.8930915748568
-16.9905925806076,-44.7472082900272
-21.4001754596652,-49.8454188907196
-26.0968525013361,-55.1071756892349
-27.476604330587,-57.1211298525714
-29.4452316970843,-59.8998443175303
-32.8489881485014,-63.91952602538
-36.7875357554715,-68.6031489249845
-41.4773017947012,-73.6060738634429
-46.341434436167,-78.7934333664292
-50.6515105913742,-84.1103697597799
-52.0653326233687,-86.3545958366971
-54.6946855727238,-89.2409555172278
-52.7434724297189,-91.5274373494492
-52.5132299418044,-94.6646064321434
-53.7942175831184,-98.0387397666631
-55.4952645319321,-101.928052648926
-57.9457544662948,-106.087105159849
-57.377832318872,-106.950328262603
-58.5561162450445,-108.839368461352
-60.3864765071553,-112.195277228831
-63.5337725029427,-116.224947536318
-66.7383854417859,-120.654203320058
-69.7453021653016,-125.388216117441
-73.2572192604128,-130.171126452036
-74.3481825992484,-131.708611038642
-76.0391795817487,-134.301726197076
-78.9161102274527,-137.923970886086
-82.5017380621278,-142.332713047024
-86.4349734894131,-147.140889435065
-90.6928945002124,-151.972778230704
-95.2581690323027,-156.916479776031
-96.4214215326518,-158.737196304464
-98.6385963133979,-161.615423351666
-101.758031883189,-165.593190573187
-105.744862401941,-170.176979206897
-110.019790877891,-175.136638379086
-114.025416224642,-180.203002759624
-118.86973805087,-185.408062085227
-122.888881470756,-190.229605662943
-126.989285004025,-195.031478201102
-130.771931692204,-199.968051185631
-134.954747205001,-204.871695931277
-139.23261283394,-209.943950621008
-140.528906663262,-214.828259585724
-140.966410403527,-219.406343667709
-141.584014788905,-223.543639310201
-143.081957373789,-227.638362747959
-144.395604174618,-231.758232424831
-146.398248243357,-235.631224150015
-148.97816150036,-239.828502802661
-151.809771975114,-243.794515880532
-155.157536495321,-248.195525095714
-157.719402703123,-252.519556123123
-160.434489298973,-256.687789337398
-163.365784985487,-260.861571803094
-166.714855048466,-265.13134425092
-170.260823693071,-269.460607056833
-173.885184151904,-273.971450920693
-177.457068676123,-278.706703346166
-181.16011297924,-283.367431349126
-184.325296018579,-287.951253097475
